"year","region","sales","charingPoints","stock","stockShare","salesShare"
2013,"Korea",606,606,1417,0.0105000000912696,0.0570000000298023
2013,"Mexico",12,12,100,0.00053999997908249,0.00130000000353902
2013,"Netherlands",22517,22517,29018,1.18200000375509,9.37000008672476
2013,"New Zealand",36,36,157,0.264299990609288,0.0189999993890524
2013,"Norway",8580,8580,15665,0.691099997609854,6.90000021457672
2013,"Poland",62,62,0,0,0.0174000000115484
2013,"Portugal",204,204,1137,0.025000000372529,0.320000007748604
2013,"South Africa",34,34,34,0.00059000001056119,0.00749999983236193
2013,"Spain",992,992,2230,0.0160000002942979,0.860000006854534
2013,"Sweden",1740,1740,3158,0.221999999135733,1.09999996423721
2013,"Switzerland",1480,1480,2930,0.132000003010035,0.810000002384186
2013,"United Kingdom",4143,4143,11621,0.148000000044703,0.549999989569187
